year,city,country,avg_temp
1819,Baghdad,Iraq,20.13
1820,Baghdad,Iraq,21.58
1821,Baghdad,Iraq,22.83
1822,Baghdad,Iraq,20.87
1823,Baghdad,Iraq,18.96
1824,Baghdad,Iraq,22.96
1825,Baghdad,Iraq,22.36
1826,Baghdad,Iraq,22.28
1827,Baghdad,Iraq,23.15
1828,Baghdad,Iraq,22.21
1829,Baghdad,Iraq,22.28
1830,Baghdad,Iraq,22.61
1831,Baghdad,Iraq,21.74
1832,Baghdad,Iraq,21.30
1833,Baghdad,Iraq,22.13
1834,Baghdad,Iraq,21.91
1835,Baghdad,Iraq,21.51
1836,Baghdad,Iraq,21.94
1837,Baghdad,Iraq,21.78
1838,Baghdad,Iraq,21.49
1839,Baghdad,Iraq,21.71
1840,Baghdad,Iraq,21.79
1841,Baghdad,Iraq,21.85
1842,Baghdad,Iraq,22.38
1843,Baghdad,Iraq,22.18
1844,Baghdad,Iraq,21.93
1845,Baghdad,Iraq,22.04
1846,Baghdad,Iraq,22.65
1847,Baghdad,Iraq,22.35
1848,Baghdad,Iraq,22.11
1849,Baghdad,Iraq,22.34
1850,Baghdad,Iraq,21.75
1851,Baghdad,Iraq,22.75
1852,Baghdad,Iraq,22.34
1853,Baghdad,Iraq,22.67
1854,Baghdad,Iraq,21.96
1855,Baghdad,Iraq,22.56
1856,Baghdad,Iraq,21.96
1857,Baghdad,Iraq,21.52
1858,Baghdad,Iraq,22.48
1859,Baghdad,Iraq,22.48
1860,Baghdad,Iraq,22.62
1861,Baghdad,Iraq,21.34
1862,Baghdad,Iraq,21.26
1863,Baghdad,Iraq,21.59
1864,Baghdad,Iraq,22.29
1865,Baghdad,Iraq,22.59
1866,Baghdad,Iraq,22.19
1867,Baghdad,Iraq,22.41
1868,Baghdad,Iraq,22.35
1869,Baghdad,Iraq,22.72
1870,Baghdad,Iraq,22.63
1871,Baghdad,Iraq,22.26
1872,Baghdad,Iraq,22.64
1873,Baghdad,Iraq,22.89
1874,Baghdad,Iraq,22.38
1875,Baghdad,Iraq,22.07
1876,Baghdad,Iraq,22.61
1877,Baghdad,Iraq,23.05
1878,Baghdad,Iraq,22.92
1879,Baghdad,Iraq,23.12
1880,Baghdad,Iraq,21.71
1881,Baghdad,Iraq,22.77
